Flight_ID,DAY_OF_MONTH,DAY_OF_WEEK,OP_UNIQUE_CARRIER,OP_CARRIER_AIRLINE_ID,OP_CARRIER,TAIL_NUM,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST,DEP_TIME,DEP_DEL15,DEP_TIME_BLK,ARR_TIME,ARR_DEL15,CANCELLED,DIVERTED,DISTANCE
0,1,3,EV,20366,EV,N48901,4397,13930,1393007,ORD,11977,1197705,GRB,1003,0,1000-1059,1117,0,0,0,174
1,1,3,EV,20366,EV,N16976,4401,15370,1537002,TUL,13930,1393007,ORD,1027,0,1000-1059,1216,0,0,0,585
2,1,3,EV,20366,EV,N12167,4404,11618,1161802,EWR,15412,1541205,TYS,1848,0,1800-1859,2120,0,0,0,631
3,1,3,EV,20366,EV,N14902,4405,10781,1078105,BTR,12266,1226603,IAH,1846,0,1800-1859,2004,0,0,0,253
4,1,3,EV,20366,EV,N606UX,4407,14524,1452401,RIC,12266,1226603,IAH,1038,0,1000-1059,1330,0,0,0,1157
5,1,3,EV,20366,EV,N605UX,4408,13871,1387102,OMA,12266,1226603,IAH,555,0,0600-0659,838,0,0,0,781
6,1,3,EV,20366,EV,N14991,4410,12266,1226603,IAH,14814,1481402,SHV,1610,0,1600-1659,1718,0,0,0,192
7,1,3,EV,20366,EV,N15986,4411,12266,1226603,IAH,12206,1220605,HRL,1415,0,1400-1459,1531,0,0,0,295
8,1,3,EV,20366,EV,N603UX,4412,13930,1393007,ORD,10140,1014005,ABQ,1938,0,1900-1959,2204,0,0,0,1118
9,1,3,EV,20366,EV,N13975,4414,11618,1161802,EWR,13485,1348502,MSN,1011,0,1000-1059,1139,0,0,0,799
10,1,3,EV,20366,EV,N616UX,4415,11278,1127805,DCA,13930,1393007,ORD,1306,1,1100-1159,1404,1,0,0,612
11,1,3,EV,20366,EV,N601UX,4417,11278,1127805,DCA,13930,1393007,ORD,1843,0,1800-1859,1945,0,0,0,612
12,1,3,EV,20366,EV,N13979,4418,12266,1226603,IAH,12451,1245102,JAX,735,0,0700-0759,1039,0,0,0,817
13,1,3,EV,20366,EV,N14562,4419,11140,1114008,CRP,12266,1226603,IAH,1847,0,1800-1859,1941,0,0,0,201
14,1,3,EV,20366,EV,N13979,4421,11618,1161802,EWR,10785,1078502,BTV,1441,0,1400-1459,1557,0,0,0,266
15,1,3,EV,20366,EV,N13995,4422,12266,1226603,IAH,13158,1315805,MAF,1440,0,1400-1459,1616,0,0,0,429
16,1,3,EV,20366,EV,N11192,4423,12266,1226603,IAH,11049,1104903,CLL,2148,0,2100-2159,2224,0,0,0,74
17,1,3,EV,20366,EV,N14993,4427,12266,1226603,IAH,10747,1074706,BRO,2133,0,2100-2159,2250,0,0,0,308
18,1,3,EV,20366,EV,N614UX,4427,12953,1295304,LGA,12266,1226603,IAH,1554,0,1500-1559,1928,1,0,0,1416
19,1,3,EV,20366,EV,N14568,4432,12266,1226603,IAH,10781,1078105,BTR,940,0,0900-0959,1047,0,0,0,253
20,1,3,EV,20366,EV,N16987,4436,12266,1226603,IAH,11140,1114008,CRP,1837,0,1800-1859,1947,0,0,0,201
21,1,3,EV,20366,EV,N13995,4437,13158,1315805,MAF,12266,1226603,IAH,1700,0,1700-1759,1835,0,0,0,429
22,1,3,EV,20366,EV,N12563,4438,12266,1226603,IAH,10781,1078105,BTR,2032,1,1900-1959,2130,1,0,0,253
23,1,3,EV,20366,EV,N13538,4441,13851,1385103,OKC,12266,1226603,IAH,1705,0,1700-1759,1838,0,0,0,395
24,1,3,EV,20366,EV,N16987,4445,12951,1295106,LFT,12266,1226603,IAH,1150,0,1200-1259,1301,0,0,0,201
25,1,3,EV,20366,EV,N29906,4446,12266,1226603,IAH,13377,1337702,MLU,2120,0,2100-2159,2225,0,0,0,262
26,1,3,EV,20366,EV,N602UX,4446,12451,1245102,JAX,12266,1226603,IAH,1915,1,1900-1959,2052,0,0,0,817
27,1,3,EV,20366,EV,N13989,4447,12266,1226603,IAH,15624,1562404,VPS,1820,0,1800-1859,2000,0,0,0,528
28,1,3,EV,20366,EV,N14158,4449,11109,1110902,COS,12266,1226603,IAH,1211,0,1200-1259,1536,0,0,0,809
29,1,3,EV,20366,EV,N14904,4453,14696,1469608,SBN,13930,1393007,ORD,1251,1,1100-1159,1231,1,0,0,84
30,1,3,EV,20366,EV,N606UX,4454,12266,1226603,IAH,14524,1452401,RIC,1815,0,1800-1859,2149,0,0,0,1157
31,1,3,EV,20366,EV,N17560,4455,14685,1468502,SAV,11618,1161802,EWR,1851,0,1800-1859,2107,0,0,0,708
32,1,3,EV,20366,EV,N616UX,4456,13930,1393007,ORD,11278,1127805,DCA,850,1,0800-0859,1234,1,0,0,612
33,1,3,EV,20366,EV,N11535,4458,15412,1541205,TYS,11618,1161802,EWR,659,0,0700-0759,852,0,0,0,631
1,1,3,EV,20366,EV,N15980,4462,11540,1154005,ELP,12266,1226603,IAH,1352,0,1400-1459,1703,0,0,0,667
1,1,3,EV,20366,EV,N11165,4464,12266,1226603,IAH,10693,1069302,BNA,1415,0,1400-1459,1555,0,0,0,657
1,1,3,EV,20366,EV,N15980,4465,12266,1226603,IAH,11540,1154005,ELP,1205,0,1200-1259,1323,0,0,0,667
1,1,3,EV,20366,EV,N21537,4468,12953,1295304,LGA,11042,1104205,CLE,1059,0,1100-1159,1231,0,0,0,419
1,1,3,EV,20366,EV,N13979,4472,12451,1245102,JAX,11618,1161802,EWR,1124,0,1100-1159,1342,0,0,0,820
1,1,3,EV,20366,EV,N48901,4473,11193,1119302,CVG,13930,1393007,ORD,847,0,0800-0859,935,1,0,0,264
1,1,3,EV,20366,EV,N601UX,4474,13930,1393007,ORD,11278,1127805,DCA,1009,0,1000-1059,1313,0,0,0,612
1,1,3,EV,20366,EV,N601UX,4477,13931,1393102,ORF,13930,1393007,ORD,729,0,0700-0759,918,1,0,0,717
1,1,3,EV,20366,EV,N22909,4481,13930,1393007,ORD,14783,1478302,SGF,1556,0,1600-1659,1731,0,0,0,438
1,1,3,EV,20366,EV,N602UX,4487,13930,1393007,ORD,11278,1127805,DCA,1042,1,0900-0959,1340,1,0,0,612
1,1,3,EV,20366,EV,N14573,4488,12266,1226603,IAH,12896,1289607,LBB,1912,1,1800-1859,2050,1,0,0,458
1,1,3,EV,20366,EV,N605UX,3966,13198,1319801,MCI,12266,1226603,IAH,1816,0,1800-1859,2026,0,0,0,643
1,1,3,EV,20366,EV,N14568,3967,10781,1078105,BTR,12266,1226603,IAH,1157,0,1200-1259,1319,0,0,0,253
1,1,3,EV,20366,EV,N17159,3969,11618,1161802,EWR,11193,1119302,CVG,1156,0,1200-1259,1354,0,0,0,569
1,1,3,EV,20366,EV,N15555,3971,11618,1161802,EWR,11996,1199603,GSP,2142,0,2100-2159,2342,0,0,0,594
1,1,3,EV,20366,EV,N15983,3972,10747,1074706,BRO,12266,1226603,IAH,726,0,0700-0759,840,0,0,0,308
1,1,3,EV,20366,EV,N14905,3974,11140,1114008,CRP,12266,1226603,IAH,1414,0,1400-1459,1505,0,0,0,201
1,1,3,EV,20366,EV,N16561,3976,13930,1393007,ORD,14576,1457606,ROC,1753,0,1800-1859,2035,0,0,0,528
1,1,3,EV,20366,EV,N15980,3978,12951,1295106,LFT,12266,1226603,IAH,926,0,0900-0959,1027,0,0,0,201
1,1,3,EV,20366,EV,N22909,3979,14492,1449202,RDU,11618,1161802,EWR,908,0,0900-0959,1048,0,0,0,416
1,1,3,EV,20366,EV,N13992,3980,12266,1226603,IAH,10185,1018502,AEX,1935,0,1900-1959,2030,0,0,0,190
1,1,3,EV,20366,EV,N12563,3981,12945,1294503,LEX,12266,1226603,IAH,1627,0,1600-1659,1834,0,0,0,828
1,1,3,EV,20366,EV,N10575,3982,11618,1161802,EWR,11278,1127805,DCA,1555,1,1500-1559,1724,1,0,0,199
1,1,3,EV,20366,EV,N13992,3983,11982,1198202,GRK,12266,1226603,IAH,1200,0,1200-1259,1251,0,0,0,166
1,1,3,EV,20366,EV,N48901,3984,13930,1393007,ORD,11193,1119302,CVG,1828,0,1800-1859,2035,0,0,0,264
1,1,3,EV,20366,EV,N610UX,3985,11278,1127805,DCA,13930,1393007,ORD,940,0,0900-0959,1051,0,0,0,612
1,1,3,EV,20366,EV,N29906,3987,13377,1337702,MLU,12266,1226603,IAH,515,0,0001-0559,652,0,0,0,262
1,1,3,EV,20366,EV,N14180,3988,10431,1043105,AVL,11618,1161802,EWR,1041,0,1000-1059,1229,0,0,0,583
1,1,3,EV,20366,EV,N18556,3989,14685,1468502,SAV,13930,1393007,ORD,1023,0,1000-1059,1155,0,0,0,773
1,1,3,EV,20366,EV,N12564,3990,14122,1412202,PIT,11618,1161802,EWR,1223,0,1200-1259,1415,0,0,0,319
1,1,3,EV,20366,EV,N16546,3991,11193,1119302,CVG,11618,1161802,EWR,1249,0,1200-1259,1449,0,0,0,569
1,1,3,EV,20366,EV,N15572,3995,12266,1226603,IAH,15624,1562404,VPS,1219,0,1200-1259,1403,0,0,0,528
1,1,3,EV,20366,EV,N11547,3996,11618,1161802,EWR,10874,1087402,CAK,2053,0,2000-2059,2223,0,0,0,382
1,1,3,EV,20366,EV,N11164,3997,11057,1105703,CLT,11618,1161802,EWR,1950,1,1100-1159,2132,1,0,0,529
1,1,3,EV,20366,EV,N13538,3998,11973,1197302,GPT,12266,1226603,IAH,1150,0,1100-1159,1340,0,0,0,376
1,1,3,EV,20366,EV,N11547,3999,13930,1393007,ORD,14576,1457606,ROC,858,0,0900-0959,1203,0,0,0,528
1,1,3,EV,20366,EV,N29917,4000,11618,1161802,EWR,10693,1069302,BNA,1557,0,1600-1659,1731,0,0,0,748
1,1,3,EV,20366,EV,N21537,4001,11042,1104205,CLE,12953,1295304,LGA,844,0,0800-0859,1014,0,0,0,419
1,1,3,EV,20366,EV,N14907,4002,11057,1105703,CLT,11618,1161802,EWR,1245,0,1200-1259,1433,0,0,0,529
1,1,3,EV,20366,EV,N14991,4003,12448,1244807,JAN,12266,1226603,IAH,1358,0,1400-1459,1537,0,0,0,351
1,1,3,EV,20366,EV,N13978,4005,11618,1161802,EWR,11433,1143302,DTW,1131,0,1100-1159,1325,0,0,0,488
1,1,3,EV,20366,EV,N603UX,4007,11624,1162403,EYW,13930,1393007,ORD,1617,0,1600-1659,1845,0,0,0,1251
1,1,3,EV,20366,EV,N11165,4008,10693,1069302,BNA,11618,1161802,EWR,1715,0,1700-1759,2109,1,0,0,748
1,1,3,EV,20366,EV,N11165,4009,12266,1226603,IAH,11140,1114008,CRP,1008,0,1000-1059,1115,0,0,0,201
1,1,3,EV,20366,EV,N15983,4012,12266,1226603,IAH,12992,1299206,LIT,1447,0,1400-1459,1601,0,0,0,374
1,1,3,EV,20366,EV,N16981,4013,12896,1289607,LBB,12266,1226603,IAH,1301,0,1300-1359,1431,0,0,0,458
1,1,3,EV,20366,EV,N16571,4016,13930,1393007,ORD,10874,1087402,CAK,1125,0,1100-1159,1346,0,0,0,343
1,1,3,EV,20366,EV,N11536,4018,13930,1393007,ORD,12339,1233904,IND,1421,0,1400-1459,1626,0,0,0,177
1,1,3,EV,20366,EV,N17185,4019,13930,1393007,ORD,11577,1157706,ERI,1010,1,2100-2159,1258,1,0,0,398
1,1,3,EV,20366,EV,N16561,4021,12266,1226603,IAH,13244,1324402,MEM,1157,0,1200-1259,1329,0,0,0,468
1,1,3,EV,20366,EV,N13988,4022,13930,1393007,ORD,15016,1501606,STL,1120,0,1100-1159,1241,0,0,0,258
1,1,3,EV,20366,EV,N14558,4023,12266,1226603,IAH,10279,1027903,AMA,1826,0,1800-1859,2014,0,0,0,517
1,1,3,EV,20366,EV,N11547,4024,11057,1105703,CLT,11618,1161802,EWR,1740,0,1700-1759,1953,0,0,0,529
1,1,3,EV,20366,EV,N605UX,4026,12266,1226603,IAH,14122,1412202,PIT,931,0,0900-0959,1317,0,0,0,1117
1,1,3,EV,20366,EV,N12564,4027,11618,1161802,EWR,14307,1430705,PVD,1458,0,1500-1559,1558,0,0,0,160
1,1,3,EV,20366,EV,N48901,4030,11577,1157706,ERI,13930,1393007,ORD,1652,0,1700-1759,1727,0,0,0,398
1,1,3,EV,20366,EV,N14558,4031,11140,1114008,CRP,12266,1226603,IAH,934,0,0900-0959,1034,0,0,0,201
1,1,3,EV,20366,EV,N22909,4032,14783,1478302,SGF,13930,1393007,ORD,1822,0,1800-1859,2005,0,0,0,438
1,1,3,EV,20366,EV,N611UX,4033,11057,1105703,CLT,13930,1393007,ORD,759,0,0800-0859,949,1,0,0,599
1,1,3,EV,20366,EV,N603UX,4034,13930,1393007,ORD,11624,1162403,EYW,1119,0,1100-1159,1524,0,0,0,1251
1,1,3,EV,20366,EV,N602UX,4035,11278,1127805,DCA,13930,1393007,ORD,1405,1,1200-1259,1505,1,0,0,612
1,1,3,EV,20366,EV,N14916,4036,11995,1199502,GSO,11618,1161802,EWR,1222,0,1200-1259,1421,0,0,0,445
1,1,3,EV,20366,EV,N14977,4038,14576,1457606,ROC,13930,1393007,ORD,925,0,0900-0959,1021,0,0,0,528
1,1,3,EV,20366,EV,N16559,4039,12266,1226603,IAH,12278,1227805,ICT,1224,0,1200-1259,1403,0,0,0,542
1,1,3,EV,20366,EV,N14180,4040,11618,1161802,EWR,10431,1043105,AVL,752,0,0700-0759,954,0,0,0,583
1,1,3,EV,20366,EV,N16541,4041,12339,1233904,IND,12266,1226603,IAH,1653,0,1700-1759,1855,0,0,0,844
1,1,3,EV,20366,EV,N48901,4042,13930,1393007,ORD,11577,1157706,ERI,1402,0,1400-1459,1623,0,0,0,398
1,1,3,EV,20366,EV,N615UX,4043,11278,1127805,DCA,13930,1393007,ORD,1739,0,1700-1759,1900,0,0,0,612
1,1,3,EV,20366,EV,N16170,4044,13930,1393007,ORD,15370,1537002,TUL,1446,1,1200-1259,1637,1,0,0,585
1,1,3,EV,20366,EV,N19554,4045,12915,1291503,LCH,12266,1226603,IAH,1210,0,1200-1259,1302,0,0,0,127
1,1,3,EV,20366,EV,N14573,4046,11618,1161802,EWR,10693,1069302,BNA,1401,0,1300-1359,1532,0,0,0,748
1,1,3,EV,20366,EV,N16546,4048,13930,1393007,ORD,11193,1119302,CVG,922,0,0900-0959,1136,0,0,0,264
1,1,3,EV,20366,EV,N21537,4049,11042,1104205,CLE,11278,1127805,DCA,1322,0,1300-1359,1435,0,0,0,310
1,1,3,EV,20366,EV,N16987,4050,12266,1226603,IAH,11049,1104903,CLL,1429,0,1400-1459,1517,0,0,0,74
1,1,3,EV,20366,EV,N14977,4051,13930,1393007,ORD,10785,1078502,BTV,1354,0,1400-1459,1658,0,0,0,763
1,1,3,EV,20366,EV,N611UX,4052,13930,1393007,ORD,12094,1209402,HDN,1028,1,1000-1059,1257,1,0,0,1009
1,1,3,EV,20366,EV,N14977,4053,10785,1078502,BTV,11618,1161802,EWR,1751,0,1800-1859,1904,0,0,0,266
1,1,3,EV,20366,EV,N15574,4054,12266,1226603,IAH,12896,1289607,LBB,1438,0,1400-1459,1614,0,0,0,458
1,1,3,EV,20366,EV,N11547,4055,11618,1161802,EWR,11057,1105703,CLT,1455,0,1500-1559,1655,0,0,0,529
1,1,3,EV,20366,EV,N14916,4056,11618,1161802,EWR,14524,1452401,RIC,1510,0,1500-1559,1630,0,0,0,277
1,1,3,EV,20366,EV,N13908,4057,10792,1079206,BUF,11618,1161802,EWR,1119,0,1100-1159,1240,0,0,0,282
1,1,3,EV,20366,EV,N13978,4058,11433,1143302,DTW,11618,1161802,EWR,1432,0,1400-1459,1611,0,0,0,488
1,1,3,EV,20366,EV,N13903,4059,11996,1199603,GSP,13930,1393007,ORD,930,0,0900-0959,1034,0,0,0,577
1,1,3,EV,20366,EV,N16559,4062,11973,1197302,GPT,12266,1226603,IAH,852,0,0900-0959,1018,0,0,0,376
1,1,3,EV,20366,EV,N616UX,4063,13930,1393007,ORD,11540,1154005,ELP,1947,0,1900-1959,2225,0,0,0,1236
1,1,3,EV,20366,EV,N12563,4064,12266,1226603,IAH,12945,1294503,LEX,1201,0,1200-1259,1458,0,0,0,828
1,1,3,EV,20366,EV,N613UX,4065,12266,1226603,IAH,11042,1104205,CLE,1428,0,1400-1459,1753,0,0,0,1091
1,1,3,EV,20366,EV,N602UX,4066,11775,1177502,FSD,13930,1393007,ORD,610,0,0600-0659,821,0,0,0,463
1,1,3,EV,20366,EV,N608UX,4068,11433,1143302,DTW,13930,1393007,ORD,1414,0,1400-1459,1435,0,0,0,235
1,1,3,EV,20366,EV,N18556,4070,13930,1393007,ORD,13244,1324402,MEM,1242,0,1200-1259,1430,0,0,0,491
1,1,3,EV,20366,EV,N604UX,4071,13930,1393007,ORD,11042,1104205,CLE,1539,0,1500-1559,1759,0,0,0,315
1,1,3,EV,20366,EV,N604UX,4074,13930,1393007,ORD,15412,1541205,TYS,2118,0,2100-2159,2345,0,0,0,475
1,1,3,EV,20366,EV,N16981,4075,12266,1226603,IAH,13256,1325602,MFE,1630,0,1600-1659,1751,0,0,0,316
1,1,3,EV,20366,EV,N15912,4076,12266,1226603,IAH,12206,1220605,HRL,1633,0,1600-1659,1752,0,0,0,295
1,1,3,EV,20366,EV,N15983,4077,13422,1342202,MOB,12266,1226603,IAH,1132,0,1100-1159,1343,1,0,0,427
1,1,3,EV,20366,EV,N609UX,4078,12266,1226603,IAH,11193,1119302,CVG,1624,0,1600-1659,1940,0,0,0,871
1,1,3,EV,20366,EV,N17560,4080,11618,1161802,EWR,14524,1452401,RIC,1028,0,1000-1059,1216,1,0,0,277
1,1,3,EV,20366,EV,N14907,4082,11618,1161802,EWR,11057,1105703,CLT,943,0,0900-0959,1159,0,0,0,529
1,1,3,EV,20366,EV,N15986,4086,12206,1220605,HRL,12266,1226603,IAH,1600,0,1600-1659,1705,0,0,0,295
1,1,3,EV,20366,EV,N14905,4087,12266,1226603,IAH,11140,1114008,CRP,1213,0,1200-1259,1327,0,0,0,201
1,1,3,EV,20366,EV,N603UX,4088,11540,1154005,ELP,13930,1393007,ORD,621,0,0600-0659,1044,0,0,0,1236
1,1,3,EV,20366,EV,N18556,4090,13244,1324402,MEM,12266,1226603,IAH,1508,0,1500-1559,1703,0,0,0,468
1,1,3,EV,20366,EV,N11535,4091,11618,1161802,EWR,11057,1105703,CLT,1650,0,1700-1759,1909,0,0,0,529
1,1,3,EV,20366,EV,N16981,4092,12266,1226603,IAH,11973,1197302,GPT,2130,0,2100-2159,2240,0,0,0,376
1,1,3,EV,20366,EV,N16541,4093,11618,1161802,EWR,12339,1233904,IND,1403,0,1400-1459,1621,0,0,0,645
1,1,3,EV,20366,EV,N22909,4097,13930,1393007,ORD,14524,1452401,RIC,2102,0,2100-2159,2,0,0,0,642
1,1,3,EV,20366,EV,N19554,4098,12266,1226603,IAH,13256,1325602,MFE,1440,0,1400-1459,1601,0,0,0,316
1,1,3,EV,20366,EV,N14180,4099,11618,1161802,EWR,11066,1106606,CMH,1404,0,1400-1459,1552,0,0,0,463
1,1,3,EV,20366,EV,N15912,4101,12266,1226603,IAH,10747,1074706,BRO,956,0,1000-1059,1126,0,0,0,308
1,1,3,EV,20366,EV,N17560,4103,13930,1393007,ORD,14685,1468502,SAV,1515,1,1400-1459,1828,1,0,0,773
1,1,3,EV,20366,EV,N10575,4104,11433,1143302,DTW,11618,1161802,EWR,1157,0,1200-1259,1323,0,0,0,488
1,1,3,EV,20366,EV,N13908,4107,11618,1161802,EWR,10792,1079206,BUF,823,0,0800-0859,954,0,0,0,282
1,1,3,EV,20366,EV,N13978,4108,11618,1161802,EWR,11066,1106606,CMH,1712,0,1700-1759,1911,0,0,0,463
1,1,3,EV,20366,EV,N13995,4109,12266,1226603,IAH,11973,1197302,GPT,1945,0,1900-1959,2102,0,0,0,376
1,1,3,EV,20366,EV,N11536,4110,12339,1233904,IND,13930,1393007,ORD,1649,0,1600-1659,1651,0,0,0,177
1,1,3,EV,20366,EV,N14902,4111,12266,1226603,IAH,13256,1325602,MFE,1154,0,1200-1259,1313,0,0,0,316
1,1,3,EV,20366,EV,N14562,4112,12266,1226603,IAH,11140,1114008,CRP,1616,0,1600-1659,1734,0,0,0,201
1,1,3,EV,20366,EV,N15574,4112,15370,1537002,TUL,12266,1226603,IAH,1139,0,1100-1159,1324,0,0,0,429
1,1,3,EV,20366,EV,N14902,4114,15016,1501606,STL,12266,1226603,IAH,840,0,0800-0859,1105,0,0,0,667
1,1,3,EV,20366,EV,N14180,4115,11066,1106606,CMH,13930,1393007,ORD,1625,0,1600-1659,1646,0,0,0,296
1,1,3,EV,20366,EV,N11547,4116,14576,1457606,ROC,11618,1161802,EWR,1227,0,1200-1259,1342,0,0,0,246
1,1,3,EV,20366,EV,N16571,4118,10874,1087402,CAK,11618,1161802,EWR,1428,0,1400-1459,1602,0,0,0,382
1,1,3,EV,20366,EV,N12135,4119,11618,1161802,EWR,14524,1452401,RIC,1954,0,1900-1959,2112,0,0,0,277
1,1,3,EV,20366,EV,N612UX,4121,12266,1226603,IAH,11193,1119302,CVG,723,0,0700-0759,1029,0,0,0,871
1,1,3,EV,20366,EV,N14904,4122,12339,1233904,IND,12266,1226603,IAH,1523,0,1500-1559,1727,0,0,0,844
1,1,3,EV,20366,EV,N14568,4123,15412,1541205,TYS,12266,1226603,IAH,728,0,0700-0759,923,1,0,0,771
1,1,3,EV,20366,EV,N14188,4124,12266,1226603,IAH,13502,1350202,MTJ,1216,0,1200-1259,1411,0,0,0,927
1,1,3,EV,20366,EV,N14542,4126,13930,1393007,ORD,11996,1199603,GSP,821,0,0800-0859,1108,0,0,0,577
1,1,3,EV,20366,EV,N13992,4127,12266,1226603,IAH,11982,1198202,GRK,955,0,1000-1059,1052,0,0,0,166
1,1,3,EV,20366,EV,N610UX,4131,10994,1099402,CHS,13930,1393007,ORD,1642,0,1600-1659,1803,0,0,0,760
1,1,3,EV,20366,EV,N14991,4133,14814,1481402,SHV,12266,1226603,IAH,1749,0,1700-1759,1910,0,0,0,192
1,1,3,EV,20366,EV,N15980,4134,12266,1226603,IAH,15370,1537002,TUL,1827,0,1800-1859,1959,0,0,0,429
1,1,3,EV,20366,EV,N19554,4135,13256,1325602,MFE,12266,1226603,IAH,1711,0,1700-1759,1828,0,0,0,316
1,1,3,EV,20366,EV,N14902,4136,13256,1325602,MFE,12266,1226603,IAH,1407,0,1400-1459,1517,0,0,0,316
1,1,3,EV,20366,EV,N607UX,4138,11042,1104205,CLE,12266,1226603,IAH,1110,0,1100-1159,1344,0,0,0,1091
1,1,3,EV,20366,EV,N14991,4139,12266,1226603,IAH,12448,1244807,JAN,1202,0,1200-1259,1330,0,0,0,351
1,1,3,EV,20366,EV,N14902,4140,12266,1226603,IAH,10781,1078105,BTR,1628,0,1600-1659,1723,0,0,0,253
1,1,3,EV,20366,EV,N15986,4141,12278,1227805,ICT,12266,1226603,IAH,1120,0,1100-1159,1311,0,0,0,542
1,1,3,EV,20366,EV,N604UX,4143,13487,1348702,MSP,13930,1393007,ORD,1257,0,1300-1359,1429,0,0,0,334
1,1,3,EV,20366,EV,N611UX,4146,12094,1209402,HDN,13930,1393007,ORD,1326,1,1300-1359,1750,1,0,0,1009
1,1,3,EV,20366,EV,N13903,4149,13930,1393007,ORD,11042,1104205,CLE,1239,0,1200-1259,1455,0,0,0,315
1,1,3,EV,20366,EV,N13988,4150,12217,1221702,HSV,13930,1393007,ORD,804,0,0800-0859,1045,1,0,0,510
1,1,3,EV,20366,EV,N34110,4152,12266,1226603,IAH,10693,1069302,BNA,1156,0,1200-1259,1339,0,0,0,657
1,1,3,EV,20366,EV,N48901,4153,11977,1197705,GRB,13930,1393007,ORD,1152,0,1200-1259,1255,0,0,0,174
1,1,3,EV,20366,EV,N16976,4155,11986,1198603,GRR,11618,1161802,EWR,1819,0,1800-1859,2007,0,0,0,605
1,1,3,EV,20366,EV,N14568,4157,12266,1226603,IAH,12951,1295106,LFT,1820,0,1800-1859,1913,0,0,0,201
1,1,3,EV,20366,EV,N16559,4157,12278,1227805,ICT,12266,1226603,IAH,1506,0,1500-1559,1700,0,0,0,542
1,1,3,EV,20366,EV,N612UX,4159,13930,1393007,ORD,13198,1319801,MCI,1248,0,1200-1259,1419,0,0,0,403
1,1,3,EV,20366,EV,N13978,4162,11066,1106606,CMH,11618,1161802,EWR,1951,0,2000-2059,2126,0,0,0,463
1,1,3,EV,20366,EV,N15572,4165,15624,1562404,VPS,12266,1226603,IAH,1440,0,1400-1459,1650,0,0,0,528
